
Train Loss: 0.233,                 Valid Loss: 0.239244,                 Accuracy: 0.93
Train Loss: 0.293,                 Valid Loss: 0.193100,                 Accuracy: 0.94
Train Loss: 0.131,                 Valid Loss: 0.176541,                 Accuracy: 0.95
Train Loss: 0.124,                 Valid Loss: 0.151766,                 Accuracy: 0.95
Train Loss: 0.106,                 Valid Loss: 0.146241,                 Accuracy: 0.96
Train Loss: 0.219,                 Valid Loss: 0.164568,                 Accuracy: 0.95
Train Loss: 0.075,                 Valid Loss: 0.141540,                 Accuracy: 0.95
Train Loss: 0.062,                 Valid Loss: 0.140708,                 Accuracy: 0.96
Train Loss: 0.038,                 Valid Loss: 0.144773,                 Accuracy: 0.96
Train Loss: 0.109,                 Valid Loss: 0.139780,                 Accuracy: 0.96
Train Loss: 0.106,                 Valid Loss: 0.132220,                 Accuracy: 0.96
Train Loss: 0.117,                 Valid Loss: 0.130369,                 Accuracy: 0.96
Train Loss: 0.211,                 Valid Loss: 0.134017,                 Accuracy: 0.96
Train Loss: 0.069,                 Valid Loss: 0.143851,                 Accuracy: 0.96
Train Loss: 0.078,                 Valid Loss: 0.145536,                 Accuracy: 0.96
