
Train Loss: 0.359,                 Valid Loss: 0.226216,                 Accuracy: 0.93
Train Loss: 0.211,                 Valid Loss: 0.181020,                 Accuracy: 0.95
Train Loss: 0.046,                 Valid Loss: 0.187041,                 Accuracy: 0.95
Train Loss: 0.112,                 Valid Loss: 0.159509,                 Accuracy: 0.96
Train Loss: 0.086,                 Valid Loss: 0.175463,                 Accuracy: 0.95
Train Loss: 0.036,                 Valid Loss: 0.170714,                 Accuracy: 0.96
Train Loss: 0.038,                 Valid Loss: 0.222944,                 Accuracy: 0.94
Train Loss: 0.095,                 Valid Loss: 0.173909,                 Accuracy: 0.95
Train Loss: 0.007,                 Valid Loss: 0.164950,                 Accuracy: 0.96
Train Loss: 0.022,                 Valid Loss: 0.163290,                 Accuracy: 0.96
Train Loss: 0.030,                 Valid Loss: 0.179941,                 Accuracy: 0.96
Train Loss: 0.100,                 Valid Loss: 0.160877,                 Accuracy: 0.96
Train Loss: 0.011,                 Valid Loss: 0.174609,                 Accuracy: 0.96
Train Loss: 0.030,                 Valid Loss: 0.191356,                 Accuracy: 0.96
Train Loss: 0.008,                 Valid Loss: 0.172272,                 Accuracy: 0.96
