
Train Loss: 0.205,                 Valid Loss: 0.208487,                 Accuracy: 0.94
Train Loss: 0.067,                 Valid Loss: 0.174383,                 Accuracy: 0.95
Train Loss: 0.160,                 Valid Loss: 0.186321,                 Accuracy: 0.95
Train Loss: 0.089,                 Valid Loss: 0.149534,                 Accuracy: 0.96
Train Loss: 0.047,                 Valid Loss: 0.156652,                 Accuracy: 0.95
Train Loss: 0.019,                 Valid Loss: 0.148196,                 Accuracy: 0.95
Train Loss: 0.015,                 Valid Loss: 0.175529,                 Accuracy: 0.95
Train Loss: 0.007,                 Valid Loss: 0.160219,                 Accuracy: 0.96
Train Loss: 0.013,                 Valid Loss: 0.163004,                 Accuracy: 0.96
Train Loss: 0.013,                 Valid Loss: 0.185835,                 Accuracy: 0.95
Train Loss: 0.024,                 Valid Loss: 0.190212,                 Accuracy: 0.95
Train Loss: 0.021,                 Valid Loss: 0.159898,                 Accuracy: 0.96
Train Loss: 0.050,                 Valid Loss: 0.163054,                 Accuracy: 0.96
Train Loss: 0.015,                 Valid Loss: 0.188651,                 Accuracy: 0.96
Train Loss: 0.010,                 Valid Loss: 0.175092,                 Accuracy: 0.96
