
Train Loss: 0.212,                 Valid Loss: 0.233272,                 Accuracy: 0.92
Train Loss: 0.113,                 Valid Loss: 0.182497,                 Accuracy: 0.94
Train Loss: 0.107,                 Valid Loss: 0.185100,                 Accuracy: 0.94
Train Loss: 0.032,                 Valid Loss: 0.164750,                 Accuracy: 0.95
Train Loss: 0.051,                 Valid Loss: 0.153209,                 Accuracy: 0.96
Train Loss: 0.011,                 Valid Loss: 0.183191,                 Accuracy: 0.95
Train Loss: 0.029,                 Valid Loss: 0.166487,                 Accuracy: 0.95
Train Loss: 0.022,                 Valid Loss: 0.172774,                 Accuracy: 0.95
Train Loss: 0.056,                 Valid Loss: 0.173348,                 Accuracy: 0.96
Train Loss: 0.005,                 Valid Loss: 0.169799,                 Accuracy: 0.96
Train Loss: 0.027,                 Valid Loss: 0.199011,                 Accuracy: 0.95
Train Loss: 0.035,                 Valid Loss: 0.179821,                 Accuracy: 0.96
Train Loss: 0.028,                 Valid Loss: 0.168623,                 Accuracy: 0.96
Train Loss: 0.073,                 Valid Loss: 0.202729,                 Accuracy: 0.95
Train Loss: 0.009,                 Valid Loss: 0.204805,                 Accuracy: 0.95
